영화대표코드,제목,개봉일,해당일자 상영작 대비 해당영화 매출비율,누적 매출액,누적 관객수,상영시작일,상영종료일,상영연도,상영월,지역
20202647,나이팅게일,2020-12-30,1.5,1782600,222,2021-01-04,2021-01-10,2021,1,경상북도
20218949,다이노 마이 프렌드,2021-08-26,0.4,1728500,218,2021-08-23,2021-08-29,2021,8,경상북도
20209685,딥워터,2020-07-09,1.3,1836460,217,2020-07-06,2020-07-12,2020,7,경상북도
20206424,사랑하고 있습니까,2020-03-25,5.1,1714240,217,2020-03-23,2020-03-29,2020,3,경상북도
20212134,극장판 천재 추리 탐정 셜록홈즈,2022-01-27,0.2,1678500,216,2022-01-31,2022-02-06,2022,"1, 2",경상북도
20224555,더 노비스,2022-05-25,0.1,1095000,213,2022-06-20,2022-06-26,2022,6,경상북도
20209013,워 위드 그랜파,2021-02-24,1.0,1717610,212,2021-02-22,2021-02-28,2021,2,경상북도
20198056,아이 엠 우먼,2021-01-14,0.5,1851770,212,2021-01-18,2021-01-24,2021,1,경상북도
20183407,버티고,2019-10-16,0.3,1740280,210,2019-10-14,2019-10-20,2019,10,경상북도
20181613,슈퍼문,2021-09-09,0.6,1657800,209,2021-09-06,2021-09-12,2021,9,경상북도
20198053,나는 나를 해고하지 않는다,2021-01-28,0.4,1610400,204,2021-02-01,2021-02-07,2021,2,경상북도
20231029,슬픔의 삼각형,2023-05-17,0.3,1621553,203,2023-05-15,2023-05-21,2023,5,경상북도
20189987,킬러의 보디가드 무삭제 특별판,2018-09-12,3.8,1736200,203,2020-05-18,2020-05-24,2020,5,경상북도
20218112,뜨거운 밤이 열리면2,2021-07-29,0.2,1000000,200,2021-07-26,2021-08-01,2021,"7, 8",경상북도
20219126,투명한 그녀,2021-09-02,0.2,1000000,200,2021-08-30,2021-09-05,2021,"8, 9",경상북도
20219106,그녀의 사정,2021-11-11,0.2,1000000,200,2021-11-08,2021-11-14,2021,11,경상북도
20219107,수상한 옆집 아내,2021-12-16,0.1,1000000,200,2021-12-13,2021-12-19,2021,12,경상북도
20178941,시인의 사랑,2017-09-14,0.1,1296000,200,2021-11-01,2021-11-07,2021,11,경상북도
20224705,쥬라기 리턴즈,2022-05-24,0.0,1000000,200,2022-05-30,2022-06-05,2022,"5, 6",경상북도
20224971,블레이드 퍼피 워리어,2022-09-28,0.2,1000000,200,2022-09-26,2022-10-02,2022,"9, 10",경상북도
20206710,파티마의 기적 ,2020-12-03,1.6,1589500,193,2020-11-30,2020-12-06,2020,"11, 12",경상북도
20231573,마인드케이지,2023-05-31,0.1,1192000,192,2023-05-29,2023-06-04,2023,"5, 6",경상북도
20208562,씨 피버,2020-05-13,3.7,1630840,192,2020-05-11,2020-05-17,2020,5,경상북도
20216083,프로페서 앤 매드맨,2021-06-02,0.5,1688500,189,2021-05-31,2021-06-06,2021,"5, 6",경상북도
20206446,n번째 이별 중,2020-04-01,4.8,1580500,188,2020-04-06,2020-04-12,2020,4,경상북도
20078386,블라인드,2021-01-14,0.5,1507500,185,2021-01-18,2021-01-24,2021,1,경상북도
20200512,미스터 존스,2021-01-07,3.1,1633500,184,2021-01-11,2021-01-17,2021,1,경상북도
20216022,웨이 다운,2021-03-11,1.1,1577400,184,2021-03-08,2021-03-14,2021,3,경상북도
20199923,라플라스의 마녀,2019-05-09,0.2,1492600,182,2019-05-06,2019-05-12,2019,5,경상북도
20192271,부니베어: 원시시대 대모험,2020-10-22,0.6,1399000,180,2020-10-19,2020-10-25,2020,10,경상북도
20208983,시라이,2020-07-15,0.3,1494500,179,2020-07-13,2020-07-19,2020,7,경상북도
20216064,하늘의 푸르름을 아는 사람이여,2022-03-16,1.3,1661500,174,2022-03-14,2022-03-20,2022,3,경상북도
20205096,세인트 아가타 ,2020-03-19,4.3,1553300,174,2020-03-16,2020-03-22,2020,3,경상북도
20215810,송가인 더 드라마 ,2021-02-11,1.0,1994000,172,2021-02-08,2021-02-14,2021,2,경상북도
20205284,매지컬: 공주를 웃겨라,2020-09-17,1.2,1307500,171,2020-09-14,2020-09-20,2020,9,경상북도
20219310,말임씨를 부탁해,2022-04-13,0.9,1534900,170,2022-04-11,2022-04-17,2022,4,경상북도
20223266,애니멀 체인지,2022-02-09,0.9,1246400,170,2022-02-07,2022-02-13,2022,2,경상북도
20219767,리스펙트,2021-09-08,0.4,1161000,168,2021-09-06,2021-09-12,2021,9,경상북도
20204681,더 보이 2: 돌아온 브람스 ,2020-03-05,1.4,1452000,166,2020-03-09,2020-03-15,2020,3,경상북도
20196716,유령선,2020-04-15,3.2,1177000,165,2020-04-20,2020-04-26,2020,4,경상북도
20200065,더 파더,2021-04-07,1.2,1368340,164,2021-04-05,2021-04-11,2021,4,경상북도
20205841,더 터닝 ,2020-04-02,3.0,1437000,164,2020-04-06,2020-04-12,2020,4,경상북도
20234413,프렌치 수프,2024-06-19,0.0,751600,162,2024-07-01,2024-07-07,2024,7,경상북도
20209107,세인트 주디 ,2020-07-29,0.0,1229500,155,2020-08-03,2020-08-09,2020,8,경상북도
20215041,토이 솔져스: 가짜사나이2 더 컴플리트,2021-01-27,0.3,1490000,152,2021-02-01,2021-02-07,2021,2,경상북도
20181092,디어 마이 지니어스,2020-10-22,0.2,532000,152,2020-11-23,2020-11-29,2020,11,경상북도
20199736,프렌즈: 둥지탈출,2019-05-01,0.1,1045600,150,2019-04-29,2019-05-05,2019,"4, 5",경상북도
20224468,애프터 양,2022-06-01,0.1,1533700,148,2022-05-30,2022-06-05,2022,"5, 6",경상북도
20239610,매복,2023-01-12,0.1,900000,148,2023-01-09,2023-01-15,2023,1,경상북도
20197853,잔칫날,2020-12-02,1.1,1085500,146,2020-11-30,2020-12-06,2020,"11, 12",경상북도
20214847,해길랍,2021-03-31,0.7,1159140,144,2021-03-29,2021-04-04,2021,"3, 4",경상북도
20209361,캐리비안 해적과 마법 다이아몬드,2020-08-26,0.1,1024000,143,2020-08-31,2020-09-06,2020,"8, 9",경상북도
20216843,턴: 더 스트릿,2021-03-31,0.5,729000,140,2021-04-05,2021-04-11,2021,4,경상북도
20200311,더블패티,2021-02-17,0.7,1071900,135,2021-02-15,2021-02-21,2021,2,경상북도
20214848,퍼펙트 케어,2021-02-19,0.7,1100440,134,2021-02-15,2021-02-21,2021,2,경상북도
20203561,O.J. 심슨 사건 파일,2020-08-05,0.1,660000,132,2020-08-03,2020-08-09,2020,8,경상북도
20196676,종이꽃,2020-10-22,0.5,1035000,128,2020-10-19,2020-10-25,2020,10,경상북도
20202204,더 렌탈 : 소리없는 감시자,2020-09-16,0.9,1002000,124,2020-09-14,2020-09-20,2020,9,경상북도
20205157,용감한 토끼 당당이,2020-12-17,0.4,600000,120,2020-12-21,2020-12-27,2020,12,경상북도
20206258,송 오브 러브,2020-09-10,0.4,600000,120,2020-09-07,2020-09-13,2020,9,경상북도
20215170,그들의 씨받이,2021-02-18,0.4,600000,120,2021-02-15,2021-02-21,2021,2,경상북도
20202792,스트레스 제로,2021-02-03,0.6,859200,119,2021-02-01,2021-02-07,2021,2,경상북도
20188364,맛있는 녀석들,2020-07-16,0.2,957500,116,2020-07-13,2020-07-19,2020,7,경상북도
20215221,더 레이서,2021-02-24,0.5,908400,113,2021-02-22,2021-02-28,2021,2,경상북도
20216894,트웬티 해커,2021-03-24,0.3,578000,113,2021-03-22,2021-03-28,2021,3,경상북도
20218244,더 그레이트 샤크,2021-08-05,0.2,1075000,112,2021-08-02,2021-08-08,2021,8,경상북도
20200845,비바리움,2020-07-16,0.2,939800,110,2020-07-13,2020-07-19,2020,7,경상북도
20203689,마이 미씽 발렌타인,2021-01-14,5.7,1022160,109,2021-01-11,2021-01-17,2021,1,경상북도
20201022,북스마트,2021-01-27,0.6,858000,108,2021-01-25,2021-01-31,2021,1,경상북도
20225002,위대한 침묵,2022-06-29,0.1,1006500,108,2022-06-27,2022-07-03,2022,"6, 7",경상북도
20189973,카일라스 가는 길,2020-09-03,0.3,746000,107,2020-09-07,2020-09-13,2020,9,경상북도
20216004,그녀가 사라졌다,2021-03-17,0.7,901000,103,2021-03-15,2021-03-21,2021,3,경상북도
20202961,고스트 오브 워,2020-09-02,0.4,803000,101,2020-08-31,2020-09-06,2020,"8, 9",경상북도
20204140,내 친구의 딸2,2021-03-04,0.3,505000,101,2021-03-01,2021-03-07,2021,3,경상북도
20200769,모녀의 노예,2021-02-23,0.3,505000,101,2021-02-22,2021-02-28,2021,2,경상북도
20235926,퍼펙트 데이즈,2024-07-03,0.1,945000,100,2024-07-01,2024-07-07,2024,7,경상북도
20218834,그린 나이트,2021-08-05,0.1,883000,96,2021-08-02,2021-08-08,2021,8,경상북도
20223722,B컷,2022-03-30,0.5,855000,96,2022-03-28,2022-04-03,2022,"3, 4",경상북도
20206141,바이올렛 에버가든 – 영원과 자동 수기 인형 -,2020-03-26,2.2,750880,95,2020-03-23,2020-03-29,2020,3,경상북도
20173901,존 윅: 특별판,2017-03-30,0.2,801000,93,2020-07-27,2020-08-02,2020,"7, 8",경상북도
20202103,비독: 파리의 황제,2020-09-17,0.7,757000,90,2020-09-14,2020-09-20,2020,9,경상북도
20224069,뱅드림! 팝핀' 드림!,2022-03-24,0.6,914000,90,2022-03-21,2022-03-27,2022,3,경상북도
20200883,미드나이트 스카이,2020-12-09,1.1,788840,85,2020-12-07,2020-12-13,2020,12,경상북도
20216364,와일드 마운틴 타임,2021-03-24,0.4,730370,83,2021-03-22,2021-03-28,2021,3,경상북도
20223583,벨파스트,2022-03-23,0.5,800500,82,2022-03-21,2022-03-27,2022,3,경상북도
20224107,검스녀 젊은엄마,2022-03-08,0.2,405000,81,2022-03-07,2022-03-13,2022,3,경상북도
20200768,맛있는 여동생,2022-01-11,0.1,405000,81,2022-01-10,2022-01-16,2022,1,경상북도
20209607,1945: 포인트 오브 노 리턴,2020-06-24,0.1,521500,81,2020-06-22,2020-06-28,2020,6,경상북도
20204504,모추어리 컬렉션,2021-01-21,0.9,674500,75,2021-01-18,2021-01-24,2021,1,경상북도
20205902,신과 나: 100일간의 거래,2020-04-08,3.4,576480,74,2020-04-06,2020-04-12,2020,4,경상북도
20223404,에펠,2022-03-23,0.4,677400,72,2022-03-21,2022-03-27,2022,3,경상북도
20202368,"내 어깨 위 고양이, 밥 2",2020-12-24,0.6,531800,64,2020-12-21,2020-12-27,2020,12,경상북도
20201692,이 안에 외계인이 있다,2021-02-03,0.4,562500,64,2021-02-01,2021-02-07,2021,2,경상북도
20202931,완벽한 가족,2021-01-06,2.9,581500,61,2021-01-04,2021-01-10,2021,1,경상북도
20223992,7인의 악인전,2022-03-24,0.2,300000,60,2022-03-21,2022-03-27,2022,3,경상북도
20224720,그대라는기억 연숙씨,2022-06-16,0.1,780000,60,2022-06-06,2022-06-12,2022,6,경상북도
20223448,옆집 부부와 구멍 깐부,2022-02-04,0.1,300000,60,2022-01-31,2022-02-06,2022,"1, 2",경상북도
20202924,파힘,2021-01-21,0.5,341000,42,2021-01-18,2021-01-24,2021,1,경상북도
20192751,찬실이는 복도 많지,2020-03-05,0.5,250000,31,2020-03-02,2020-03-08,2020,3,경상북도
20204340,시원찮은 그녀를 위한 육성방법 피날레,2020-02-27,0.5,282960,31,2020-02-24,2020-03-01,2020,"2, 3",경상북도
20162869,택시운전사,2017-08-02,2.0,4782960200,630111,2017-09-18,2017-09-24,2017,9,광주시
20182530,극한직업,2019-01-23,2.3,4888420450,582494,2019-03-11,2019-03-17,2019,3,광주시
20150976,신과함께-죄와 벌,2017-12-20,0.3,3915946500,510329,2018-02-12,2018-02-18,2018,2,광주시
20212866,서울의 봄,2023-11-22,1.0,4733643996,497937,2024-02-05,2024-02-11,2024,2,광주시
20197803,겨울왕국 2,2019-11-21,1.2,3686716280,455869,2020-01-13,2020-01-19,2020,1,광주시
20186202,신과함께-인과 연,2018-08-01,1.2,3697259050,453211,2018-09-10,2018-09-16,2018,9,광주시
20184889,어벤져스: 엔드게임,2019-04-24,7.4,3860326500,450550,2020-04-27,2020-05-03,2020,"4, 5",광주시
20204548,범죄도시2,2022-05-18,0.8,4344199240,439657,2022-07-18,2022-07-24,2022,7,광주시
20183867,알라딘,2019-05-23,1.6,3621558430,434862,2022-09-12,2022-09-18,2022,9,광주시
20234675,파묘,2024-02-22,0.5,3688753226,394247,2024-05-06,2024-05-12,2024,5,광주시
20228797,범죄도시4,2024-04-24,0.7,3603548011,391610,2024-06-17,2024-06-23,2024,6,광주시
20226411,범죄도시3,2023-05-31,0.9,3517332534,372262,2023-07-17,2023-07-23,2023,7,광주시
20177478,어벤져스: 인피니티 워,2018-04-25,0.6,3121574300,367284,2018-06-04,2018-06-10,2018,6,광주시
20184621,엑시트,2019-07-31,0.4,2905142850,356641,2019-09-16,2019-09-22,2019,9,광주시
20183782,기생충,2019-05-30,3.9,2915815690,352639,2020-04-27,2020-05-03,2020,"4, 5",광주시
20225061,아바타: 물의 길,2022-12-14,2.0,4435774744,340592,2023-02-20,2023-02-26,2023,2,광주시
20170590,1987,2017-12-27,2.2,2475544400,321897,2018-02-05,2018-02-11,2018,2,광주시
20151228,공조,2017-01-18,3.5,2449327200,315635,2017-02-20,2017-02-26,2017,2,광주시
20192206,백두산,2019-12-19,0.9,2534223240,310779,2020-01-20,2020-01-26,2020,1,광주시
20185485,보헤미안 랩소디,2018-10-31,0.2,2438019650,294026,2019-01-28,2019-02-03,2019,"1, 2",광주시
20196309,스파이더맨: 파 프롬 홈,2019-07-02,1.9,2287211800,274677,2019-07-29,2019-08-04,2019,"7, 8",광주시
20215601,공조2: 인터내셔날,2022-09-07,2.2,2556735318,264982,2022-10-31,2022-11-06,2022,"10, 11",광주시
20209343,한산: 용의 출현,2022-07-27,0.5,2560891063,262658,2022-09-12,2022-09-18,2022,9,광주시
20235974,인사이드 아웃 2,2024-06-12,4.4,2402909583,256943,2024-08-05,2024-08-11,2024,8,광주시
20167303,스파이더맨: 홈 커밍,2017-07-05,0.9,1941416600,250054,2017-07-31,2017-08-06,2017,"7, 8",광주시
20194376,탑건: 매버릭,2022-06-22,1.2,2584879621,249367,2022-09-12,2022-09-18,2022,9,광주시
20172742,범죄도시,2017-10-03,1.1,1903782600,242260,2017-11-20,2017-11-26,2017,11,광주시
20181181,미션 임파서블: 폴아웃,2018-07-25,1.1,1953854700,238947,2018-08-27,2018-09-02,2018,"8, 9",광주시
20162442,청년경찰,2017-08-09,2.8,1774246400,236669,2017-09-11,2017-09-17,2017,9,광주시
20161481,군함도,2017-07-26,0.7,1728737400,234373,2017-08-14,2017-08-20,2017,8,광주시
20210028,스파이더맨: 노 웨이 홈,2021-12-15,1.8,2208757130,226821,2022-02-21,2022-02-27,2022,2,광주시
20228930,엘리멘탈,2023-06-14,2.0,2143759595,222541,2023-09-11,2023-09-17,2023,9,광주시
20151229,더 킹,2017-01-18,1.5,1718502900,220821,2017-02-13,2017-02-19,2017,2,광주시
20176122,안시성,2018-09-19,0.8,1787265050,215266,2018-10-22,2018-10-28,2018,10,광주시
20179086,쥬라기 월드: 폴른 킹덤,2018-06-06,0.5,1802986400,211970,2018-07-09,2018-07-15,2018,7,광주시
20184462,봉오동 전투,2019-08-07,3.5,1729471620,209134,2019-09-02,2019-09-08,2019,9,광주시
20177538,완벽한 타인,2018-10-31,1.8,1597842650,198326,2018-12-03,2018-12-09,2018,12,광주시
20179383,독전,2018-05-22,2.1,1607679700,195864,2018-06-25,2018-07-01,2018,"6, 7",광주시
20179101,공작,2018-08-08,0.8,1629337400,195652,2018-09-10,2018-09-16,2018,9,광주시
20188750,나쁜 녀석들: 더 무비,2019-09-11,2.7,1620796360,192468,2019-09-30,2019-10-06,2019,"9, 10",광주시
20180939,남산의 부장들,2020-01-22,2.0,1600087080,187231,2020-02-17,2020-02-23,2020,2,광주시
20180522,앤트맨과 와스프,2018-07-04,0.3,1519734600,183944,2018-07-30,2018-08-05,2018,"7, 8",광주시
20212855,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,0.8,1902352180,181977,2022-06-06,2022-06-12,2022,6,광주시
20180290,아쿠아맨,2018-12-19,2.9,1542310000,181726,2019-01-14,2019-01-20,2019,1,광주시
20218541,밀수,2023-07-26,3.0,1705719118,181374,2023-09-04,2023-09-10,2023,9,광주시
20226270,스즈메의 문단속,2023-03-08,1.6,1761327846,180190,2023-10-30,2023-11-05,2023,"10, 11",광주시
20170561,블랙 팬서,2018-02-14,1.1,1461531200,179888,2018-03-12,2018-03-18,2018,3,광주시
20181877,캡틴 마블,2019-03-06,1.7,1507805220,175349,2019-04-15,2019-04-21,2019,4,광주시
20170402,강철비,2017-12-14,2.1,1325685700,173386,2018-01-08,2018-01-14,2018,1,광주시
20164721,미녀와 야수,2017-03-16,0.2,1258604700,162664,2020-08-03,2020-08-09,2020,8,광주시
20175222,킹스맨: 골든 서클,2017-09-27,3.3,1304383800,162653,2017-10-16,2017-10-22,2017,10,광주시
20165748,꾼,2017-11-22,0.5,1186740000,158729,2017-12-18,2017-12-24,2017,12,광주시
20199950,조커,2019-10-02,1.1,1321412901,158036,2023-10-30,2023-11-05,2023,"10, 11",광주시
20203702,노량: 죽음의 바다,2023-12-20,4.2,1518152405,156298,2024-01-22,2024-01-28,2024,1,광주시
20175771,라이온 킹,2019-07-17,2.4,1319646470,156239,2019-08-05,2019-08-11,2019,8,광주시
20211792,헌트,2022-08-10,0.7,1496557084,155180,2022-09-19,2022-09-25,2022,9,광주시
20175121,토르: 라그나로크,2017-10-25,1.6,1177880000,153210,2017-11-27,2017-12-03,2017,"11, 12",광주시
20197922,다만 악에서 구하소서,2020-08-05,2.4,1257043510,146667,2020-09-14,2020-09-20,2020,9,광주시
20196850,분노의 질주: 홉스&쇼,2019-08-14,0.5,1254697570,145293,2019-09-09,2019-09-15,2019,9,광주시
20165450,남한산성,2017-10-03,1.1,1140992500,145252,2017-10-23,2017-10-29,2017,10,광주시
20179189,암수살인,2018-10-03,2.4,1209403950,144750,2018-10-29,2018-11-04,2018,"10, 11",광주시
20198414,시동,2019-12-18,3.1,1155022420,143531,2020-01-13,2020-01-19,2020,1,광주시
20177552,국가부도의 날,2018-11-28,4.5,1133580750,142666,2018-12-17,2018-12-23,2018,12,광주시
20176104,그것만이 내 세상,2018-01-17,1.3,1085220900,142062,2018-02-19,2018-02-25,2018,2,광주시
20178161,탐정: 리턴즈,2018-06-13,1.1,1153096800,141203,2018-07-16,2018-07-22,2018,7,광주시
20167542,분노의 질주: 더 익스트림,2017-04-12,2.1,1104872100,140884,2020-03-16,2020-03-22,2020,3,광주시
20166488,미이라,2017-06-06,0.6,1125803900,139930,2017-07-03,2017-07-09,2017,7,광주시
20204117,모가디슈,2021-07-28,1.4,1266335750,136277,2021-09-27,2021-10-03,2021,"9, 10",광주시
20188941,악인전,2019-05-15,0.7,1151103120,133686,2019-06-10,2019-06-16,2019,6,광주시
20185341,마녀,2018-06-27,0.2,1081933600,133258,2018-07-30,2018-08-05,2018,"7, 8",광주시
20177221,베놈,2018-10-03,6.9,1099586900,132172,2018-10-22,2018-10-28,2018,10,광주시
20174142,아이 캔 스피크,2017-09-21,0.9,983920700,131631,2017-10-23,2017-10-29,2017,10,광주시
20204264,콘크리트 유토피아,2023-08-09,2.5,1228722688,130482,2023-09-18,2023-09-24,2023,9,광주시
20176103,돈,2019-03-20,0.2,1087324550,130282,2019-04-22,2019-04-28,2019,4,광주시
20191029,82년생 김지영,2019-10-23,0.8,1036369080,128364,2019-11-25,2019-12-01,2019,"11, 12",광주시
20232631,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,0.8,1225879748,125748,2023-08-14,2023-08-20,2023,8,광주시
20176848,데드풀 2,2018-05-16,0.4,1069272900,123563,2018-06-11,2018-06-17,2018,6,광주시
20161872,너의 이름은.,2017-01-04,2.7,940222309,123226,2024-01-22,2024-01-28,2024,1,광주시
20227762,올빼미,2022-11-23,1.6,1151422179,120685,2023-01-09,2023-01-15,2023,1,광주시
20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,0.4,1265361939,120618,2023-06-19,2023-06-25,2023,6,광주시
20228555,더 퍼스트 슬램덩크,2023-01-04,1.3,1214725892,120011,2024-01-08,2024-01-14,2024,1,광주시
20224666,파일럿,2024-07-31,52.7,1061542311,119274,2024-08-05,2024-08-11,2024,8,광주시
20174602,노무현입니다,2017-05-25,0.8,881748100,116871,2017-07-03,2017-07-09,2017,7,광주시
20153446,너의 결혼식,2018-08-22,0.9,934204150,116697,2018-09-17,2018-09-23,2018,9,광주시
20195920,가장 보통의 연애,2019-10-02,0.9,961208880,116188,2019-11-04,2019-11-10,2019,11,광주시
20224882,마녀(魔女) Part2. The Other One,2022-06-15,1.6,1090834150,111103,2022-07-11,2022-07-17,2022,7,광주시
20195002,블랙머니,2019-11-13,0.4,894444280,110960,2019-12-16,2019-12-22,2019,12,광주시
20162181,프리즌,2017-03-23,3.2,869661700,110881,2017-04-17,2017-04-23,2017,4,광주시
20173403,슈퍼배드 3,2017-07-26,0.9,774738400,110586,2017-08-21,2017-08-27,2017,8,광주시
20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,0.7,858072600,110440,2017-06-19,2017-06-25,2017,6,광주시
20236180,웡카,2024-01-31,0.7,1019138927,109996,2024-03-25,2024-03-31,2024,3,광주시
20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2.1,843430900,108304,2018-02-26,2018-03-04,2018,"2, 3",광주시
20180804,곤지암,2018-03-28,6.0,810364900,108118,2018-04-16,2018-04-22,2018,4,광주시
20170670,목격자,2018-08-15,2.2,887299650,107226,2018-09-03,2018-09-09,2018,9,광주시
20184105,말모이,2019-01-09,0.5,872835640,106382,2019-02-04,2019-02-10,2019,2,광주시
20185881,증인,2019-02-13,0.4,841485080,106178,2019-03-18,2019-03-24,2019,3,광주시
20150964,조작된 도시,2017-02-09,0.9,792330500,105145,2017-03-06,2017-03-12,2017,3,광주시
20162722,보안관,2017-05-03,1.3,808240000,104652,2017-05-22,2017-05-28,2017,5,광주시
20193450,반도,2020-07-15,0.4,861494840,103062,2020-08-24,2020-08-30,2020,8,광주시
20191951,블랙 위도우,2021-07-07,0.3,1012536690,102152,2021-08-16,2021-08-22,2021,8,광주시
20196478,영웅,2022-12-21,1.4,968440757,102063,2023-02-20,2023-02-26,2023,2,광주시
20154909,살인자의 기억법,2017-09-06,0.4,777955300,101715,2017-10-02,2017-10-08,2017,10,광주시
20166421,재심,2017-02-15,1.6,761512400,100672,2017-03-13,2017-03-19,2017,3,광주시
20179985,코코,2018-01-11,1.2,748817000,100530,2018-02-19,2018-02-25,2018,2,광주시
20192101,히트맨,2020-01-22,2.5,836248080,100425,2020-02-10,2020-02-16,2020,2,광주시
20206061,쥬라기 월드: 도미니언,2022-06-01,0.4,996246420,100405,2022-06-27,2022-07-03,2022,"6, 7",광주시
20166967,트랜스포머: 최후의 기사,2017-06-21,1.5,789153000,98629,2017-07-10,2017-07-16,2017,7,광주시
20170669,지금 만나러 갑니다,2018-03-14,2.1,751356300,98241,2018-04-09,2018-04-15,2018,4,광주시
20218256,이터널스,2021-11-03,4.4,1032674780,97983,2021-11-29,2021-12-05,2021,"11, 12",광주시
20196270,싱크홀,2021-08-11,7.8,921628030,97902,2021-09-06,2021-09-12,2021,9,광주시
20212932,탈주,2024-07-03,2.6,862568849,94922,2024-08-05,2024-08-11,2024,8,광주시
20181434,신의 한 수: 귀수편,2019-11-07,2.1,782083920,94292,2019-11-25,2019-12-01,2019,"11, 12",광주시
20185046,서치,2018-08-29,1.3,763472850,94137,2018-09-24,2018-09-30,2018,9,광주시
20178982,박열,2017-06-28,3.6,687989900,93187,2017-07-17,2017-07-23,2017,7,광주시
20176251,내안의 그놈,2019-01-09,0.9,748726900,91856,2019-01-28,2019-02-03,2019,"1, 2",광주시
20228819,30일,2023-10-03,1.0,832679352,89456,2023-11-20,2023-11-26,2023,11,광주시
20184047,토이 스토리 4,2019-06-20,0.8,723518700,88728,2019-07-22,2019-07-28,2019,7,광주시
20175054,메이즈 러너: 데스 큐어,2018-01-17,2.7,678092400,88696,2018-02-05,2018-02-11,2018,2,광주시
20177539,사바하,2019-02-20,2.1,714016560,88128,2019-03-11,2019-03-17,2019,3,광주시
20217826,육사오(6/45),2022-08-24,1.1,820285075,86284,2022-10-03,2022-10-09,2022,10,광주시
20172204,명당,2018-09-19,0.4,719003700,85504,2018-10-15,2018-10-21,2018,10,광주시
20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1.7,702412600,84907,2017-05-22,2017-05-28,2017,5,광주시
20164621,덩케르크,2017-07-20,1.5,692158800,84789,2020-12-14,2020-12-20,2020,12,광주시
20174061,보스 베이비,2017-05-03,0.9,616727300,84765,2017-06-05,2017-06-11,2017,6,광주시
20226431,오펜하이머,2023-08-15,4.8,869898543,82840,2023-09-18,2023-09-24,2023,9,광주시
20224662,토르: 러브 앤 썬더,2022-07-06,0.6,885632133,82772,2022-07-25,2022-07-31,2022,7,광주시
20176814,신비한 동물들과 그린델왈드의 범죄,2018-11-14,3.8,677754550,82565,2018-11-26,2018-12-02,2018,"11, 12",광주시
20177308,협상,2018-09-19,0.5,673723450,81761,2018-10-08,2018-10-14,2018,10,광주시
20205041,분노의 질주: 더 얼티메이트,2021-05-19,0.9,753325120,81020,2021-06-28,2021-07-04,2021,"6, 7",광주시
20184572,타짜: 원 아이드 잭,2019-09-11,0.4,707635740,80508,2019-09-30,2019-10-06,2019,"9, 10",광주시
20183361,인크레더블 2,2018-07-18,0.8,614588800,79539,2018-08-06,2018-08-12,2018,8,광주시
20180868,뺑반,2019-01-30,3.0,648648450,79464,2019-02-11,2019-02-17,2019,2,광주시
20184543,변신,2019-08-21,0.7,651093810,79096,2019-09-09,2019-09-15,2019,9,광주시
20199816,담보,2020-09-29,2.0,641230150,78263,2020-11-09,2020-11-15,2020,11,광주시
20218052,베놈 2: 렛 데어 비 카니지,2021-10-13,1.4,721057180,76357,2021-11-15,2021-11-21,2021,11,광주시
20175262,겟 아웃,2017-05-17,1.3,576260500,76253,2017-06-05,2017-06-11,2017,6,광주시
20161081,애나벨 : 인형의 주인,2017-08-10,3.0,563592500,74970,2017-08-21,2017-08-27,2017,8,광주시
20196410,비상선언,2022-08-03,1.5,705017731,73790,2022-08-22,2022-08-28,2022,8,광주시
20192083,터미네이터: 다크 페이트,2019-10-30,0.9,599796740,73302,2019-11-18,2019-11-24,2019,11,광주시
20184571,천문: 하늘에 묻는다,2019-12-26,0.3,597392680,72865,2020-01-20,2020-01-26,2020,1,광주시
20205362,미니언즈2,2022-07-20,1.0,665067381,72773,2022-08-29,2022-09-04,2022,"8, 9",광주시
20248465,하이재킹,2024-06-21,1.6,653761349,71395,2024-07-22,2024-07-28,2024,7,광주시
20200703,극장판 귀멸의 칼날: 무한열차편,2021-01-27,2.9,642039410,71358,2022-04-18,2022-04-24,2022,4,광주시
20184481,성난황소,2018-11-22,1.3,569871900,70890,2018-12-10,2018-12-16,2018,12,광주시
20165443,모아나,2017-01-12,2.5,541875700,70850,2017-02-06,2017-02-12,2017,2,광주시
20198453,롱 리브 더 킹: 목포 영웅,2019-06-19,1.0,588260850,70626,2019-07-08,2019-07-14,2019,7,광주시
20192194,인질,2021-08-18,1.9,669781450,70362,2021-09-20,2021-09-26,2021,9,광주시
20206946,시민덕희,2024-01-24,0.5,636070487,69874,2024-02-26,2024-03-03,2024,"2, 3",광주시
20161827,로건,2017-03-01,1.9,558007300,69458,2017-03-20,2017-03-26,2017,3,광주시
20185784,나의 특별한 형제,2019-05-01,1.0,559047670,69365,2019-05-20,2019-05-26,2019,5,광주시
20179901,혹성탈출: 종의 전쟁,2017-08-15,2.3,540088800,69039,2017-08-28,2017-09-03,2017,"8, 9",광주시
